"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",7.56796875,"Down",16083000,-10426000,5657000,-5001000,-5001000,656000,-44000,-47000,3000,612000,612000,-1000,611000,611000,611000,611000,7232000,7232000,14943000,14943000,19972000,1174000,1174000,43321000,2125000,11322000,-9197000,4323000,-2744112.24845495,4323000,6448000,49769000,7415000,4490000,2925000,7415000,15420000,1721000,1721000,17141000,24556000,3681000,22454000,-922000,25213000,25213000,49769000,611000,207000,91000,897000,1806000,-333000,-333000,-298000,-333000,-155000,2295000,1365000,2838000,2838000,145000,2983000,863000,15420000,1428000,0.35174,0.04079,0.03799,0.02423,0.01228,2.33715,5.84235,0.97394,0.30983,0.19615,0.19621,5.16308,8.09406,0.45843,0.04976,0.01809,0.03372,0.25368,9.48783,12.48171
"2","2011_Q1",7.61467741935484,"Up",13359933,-8315509,5044424,-4967268,-4967268,77156,71691,-36749,108440,148847,148847,33117,181964,181964,181964,181964,6601416,6601416,12330665,12330665,22292909,1402345,1195613,42627335,2215754,9318173,-7102419,4737927,1866231,1928090,6953681,49581016,9217559,5678910,3538649,9217559,13522000,1489648,1489648,15011648,24229207,3828254,22398714,-875157,25351811,25351811,49581018,181964,212156,-342981,1807776,1858915,-331488,-331488,-293083,-331488,-183832,-1898000,-2042647,-515220,-515220,-116429,-631649,289312,13522000,1732483,0.37758,0.00578,0.01362,0.00718,0.00367,9.52102,4.62458,0.95572,0.27273,0.05918,0.0586,4.34469,8.24449,0.56341,0.05978,0.00906,0.04292,1.01027,23.92083,89.69599
"3","2011_Q2",7.33619047619048,"Down",14401000,-9093000,5308000,-5125000,-5125000,183000,-22000,-47000,25000,161000,161000,-41000,120000,120000,120000,120000,5102000,5102000,12711000,12711000,23354000,1614000,1614000,42781000,2376000,12074000,-9698000,6211000,3354000,2857000,8587000,51368000,5785000,3379000,2406000,5785000,18345000,1523000,1523000,19868000,25653000,3920000,22326000,-531000,25715000,25715000,51368000,120000,233000,84000,-3284000,-2847000,-202000,-202000,-178000,-3329000,-184000,4823000,4647000,-1529000,-1529000,31000,-1498000,416000,18345000,-3029000,0.36859,0.01271,0.00833,0.00467,0.00234,-25.24167,7.39516,0.99759,0.35713,0.03902,0.03865,4.68325,8.3626,-0.98504,0.05984,0.00667,-0.06645,1.53333,31.83413,72.36612
"4","2011_Q3",7.71625,"Up",24029000,-15346000,8683000,-6223000,-6223000,2460000,-77000,-74000,-2999.99999999999,2383000,2383000,-640000,1743000,1743000,1743000,1743000,4234000,4234000,23481000,23481000,23575000,1298000,1298000,52588000,2303000,12253000,-9950000,6173000,3331000,2842000,8476000,61064000,13355000,8210000,5145000,13355000,18601000,1583000,1583000,20184000,33539000,4086000,23884000,-445000,27525000,27525000,61064000,1743000,248000,125000,-2973000,-857000,-144000,-144000,-118000,-144000,-186000,256000,111000,-890000,-890000,21000,-869000,2708000,18601000,231000,0.36136,0.10238,0.07254,0.06332,0.02854,0.132529999999999,3.9377,1.21849,0.30461,0.56317,0.55919,7.76381,8.89338,0.0746399999999999,0.0601,0.04043,0.00484000000000001,0.10671,5.30539,5.84023999999999
"5","2011_Q4",7.44587301587302,"Down",19036000,-12396000,6640000,-5520000,-5520000,1120000,-90000,-70000,-20000,1030000,1030000,-348000,682000,682000,682000,682000,6270000,6270000,16661000,16661000,22804000,1075000,1075000,46810000,2381000,12306000,-9925000,6153000,3326000,2827000,8534000,55344000,8304000,4435000,3869000,8304000,18106000,1373000,1373000,19479000,27783000,4194000,24349000,-982000,27561000,27561000,55344000,682000,237000,109000,2137000,3165000,-334000,-334000,-303000,-334000,-185000,-495000,-680000,2151000,2151000,-115000,2036000,1357000,18106000,3508000,0.34881,0.05884,0.03583,0.02475,0.01232,5.1437,5.63704,1.00805,0.32715,0.22,0.2205,6.14065,8.89065,1.13161,0.05968,0.01843,0.07457,0.27126,8.72218,10.56786
"6","2012_Q1",7.90725806451613,"Up",15835864,-10141944,5693920,-5171956,-5171956,521964,-69944,-63565,-6379,452020,452020,-185827,266193,266193,266193,266193,7853343,7853343,12904168,12904168,24494992,1269861,988288,46522364,2506124,10222348,-7716224,6193248,3284663,1854659,8699372,55221736,8704020,4935495,3768525,8704020,17568484,1174305,1174305,18742789,27446809,4410226,24403020,-1038319,27774927,27774927,55221736,266193,260837,-74723,2149761,2602068,-362566,-362566,-341713,-362552,-216582,-537516,-649567,1589949,1589949,-7021.99999999997,1582927,782801,17568484,2755823,0.35956,0.03296,0.01681,0.00958,0.00482,10.35273,5.34493,0.98819,0.31814,0.08505,0.08629,5.0595,8.87398,0.88047,0.0692,0.01038,0.05924,0.81363,12.41074,18.61266
"7","2012_Q2",8.39063492063492,"Up",16878000,-10934000,5944000,-5486000,-5486000,458000,-98000,-56000,-42000,360000,360000,-1e+05,260000,260000,260000,260000,4078000,4078000,14689000,14689000,23634000,1926000,1926000,44327000,2400000,10386000,-7986000,6157000,3264000,2893000,8557000,52884000,6978000,3541000,3437000,6978000,16920000,1207000,1207000,18127000,25105000,4149000,24444000,-813000,27780000,27780000,52885000,260000,258000,88000,-3097000,-2491000,-104000,-104000,-75000,-104000,-219000,-649000,-1217000,-3812000,-3812000,37000,-3775000,716000,16920000,-2385000,0.35217,0.02714,0.0154,0.00936,0.00492,-9.17308,6.35239,0.90371,0.31995,0.08309,0.08304,5.39406,8.87824,-0.76222,0.06999,0.01043,-0.05195,0.84231,17.93575,28.0393
"8","2012_Q3",8.6947619047619,"Up",27594000,-17773000,9821000,-6743000,-6743000,3078000,-105000,-61000,-44000,2973000,2973000,-913000,2060000,2060000,2060000,2060000,7141000,7141000,23857000,23857000,26681000,1859000,1859000,59538000,2377000,10391000,-8014000,7239000,4288000,2951000,9616000,69154000,15579000,9968000,5611000,15579000,23005000,1130000,1130000,24135000,39714000,4288000,26288000,-1136000,29440000,29440000,69154000,2060000,261000,145000,-3532000,-1066000,-181000,-181000,-158000,-1655000,-218000,6085000,5867000,3146000,3146000,-83000,3063000,3339000,23005000,539000,0.35591,0.11155,0.07465,0.06997,0.02979,0.26165,3.82168,1.34898,0.33266,0.66302,0.65335,8.88124,9.47538,0.17348,0.07016,0.04252,0.01006,0.10583,4.75112,5.154
"9","2012_Q4",9.15258064516129,"Up",20363000,-12937000,7426000,-6067000,-6067000,1359000,-90000,-83000,-7000,1269000,1269000,-471000,798000,798000,798000,798000,10105000,10105000,16058000,16058000,29992000,1911000,1911000,58066000,2388000,10672000,-8284000,7207000,4276000,2931000,9595000,67661000,11809000,6513000,5296000,11809000,24321000,1153000,1153000,25474000,37283000,4387000,26864000,-874000,30377000,30377000,67660000,798000,266000,93000,926000,2083000,-334000,-334000,-283000,-334000,-217000,1316000,1099000,2848000,2848000,116000,2964000,1625000,24321000,2688000,0.36468,0.06674,0.03919,0.02627,0.01179,3.36842,4.9171,1.22734,0.35945,0.25692,0.25643,6.55602,9.7801,0.86542,0.06986,0.01817,0.04813,0.27193,8.74831,10.46063
"10","2013_Q1",9.8505,"Up",19534770,-12979328,6555442,-6089922,-6089922,465520,-70474,-64398,-6076,395046,395046,36185,431231,431231,431231,431231,9750000,9750000,16442000,16442000,30292000,1925000,1925000,58409000,2353000,10868000,-8515000,7066000,4240000,2826000,9419000,67828000,11730000,6480000,5250000,11730000,24320000,912000,912000,25232000,36962000,16854000,27082000,-787000,30866000,30866000,67828000,431231,304697,67017,-601557,201388,-195571,-195571,-165135,-195364,-435627,-654.999999999534,-354307,-348283,-348283,-7195.99999999997,-355479,770217,24320000,-63095.9999999995,0.33558,0.02383,0.02208,0.01397,0.00636,-0.14632,4.97945,1.1975,0.35855,0.1382,0.1376,6.26055,9.89201,-0.0202200000000001,0.13961,0.01545,-0.00112,1.01019,18.91675,31.29833
"11","2013_Q2",10.38265625,"Up",17651000,-11224000,6427000,-5914000,-5914000,513000,-72000,-69000,-3000,441000,441000,-132000,309000,309000,309000,309000,8941000,8941000,14902000,14902000,30450000,1919000,1919000,56212000,2278000,10950000,-8672000,7004000,4200000,2804000,9282000,65494000,9178000,4842000,4336000,9178000,24452000,962000,962000,25414000,34592000,4777000,27172000,-1046000,30903000,30903000,65495000,309000,287000,105000,-1570000,-869000,-181000,-181000,-155000,-181000,-373957.321285185,132000,232000,-818000,-818000,9000,-809000,8e+05,24452000,-819000,0.36412,0.02906,0.01751,0.01,0.00472,-2.65049,6.12465,1.11937,0.37335,0.09866,0.09617,5.6357,9.86686,-0.26149,0.119570841762466,0.00549,-0.01454,0.698003426323298,19.38875,30.23587
"12","2013_Q3",11.44265625,"Up",28412000,-18330000,10082000,-6889000,-6889000,3193000,-99000,-74000,-25000,3094000,3094000,-883000,2211000,2211000,2211000,2211000,8458000,8458000,25420000,25420000,29450000,2115000,2115000,65443000,2353000,11253000,-8900000,6940000,4156000,2784000,9293000,74736000,14493000,9092000,5401000,14493000,26012000,1021000,1021000,27033000,41526000,17449000,29128000,-1084000,33210000,33210000,74736000,2211000,303000,167000,-4388000,-1707000,-332000,-332000,-308000,-332000,-219000,1560000,1563000,-476000,-476000,-5999.99999999999,-482000,3496000,26012000,-341000,0.35485,0.11238,0.07782,0.06658,0.02958,-0.15423,4.51549,1.25041,0.34805,0.70057,0.67926,9.00253,10.52281,-0.10805,0.06939,0.04034,-0.00566,0.09905,5.02117,5.49765
"13","2013_Q4",12.316875,"Up",22135000,-14195000,7940000,-6531000,-6531000,1409000,-86000,-99000,13000,1323000,1323000,-364000,959000,959000,959000,959000,11809000,11809000,17488000,17488000,29280000,1884000,1884000,60461000,5060000,12667000,-7607000,5217000,4105000,1112000,10277000,70738000,10283000,5016000,5267000,10283000,25031000,972000,972000,26003000,36286000,17750000,29831000,-846000,34452000,34452000,70738000,959000,285000,116000,4277000,5637000,-1221000,-2948000,-2931000,-1221000,-254000,-981000,-1049000,3367000,3367000,-17000,3350000,1694000,25031000,5114000,0.35871,0.06365,0.04333,0.02784,0.01356,5.33264,5.8797,1.05323,0.35386,0.301,0.29381,6.94758,10.81356,1.60515,0.07972,0.02006,0.08459,0.26486,7.80519,9.38396
"14","2014_Q1",13.0504918032787,"Up",21378777,-14003733,7375044,-6610948,-6610948,764096,-128205,-108334,-19871,635891,635891,-111986,523905,523905,523905,523905,11644000,11644000,15629000,15629000,28219000,1494000,1494000,56986000,5936000,15356000,-9420000,5157000,4072000,1085000,11093000,68079000,9877000,4790000,5087000,9877000,22912000,286000,286000,23198000,33075000,17873000,30099000,-685000,35004000,35004000,68079000,-392523.137045465,289765.727719554,150269.571047221,4212360.88286299,4259873.0445843,-1585238.63659427,-2632454.25773049,-2610819.90432294,2722842.01465234,-270986.737923494,-9711953.99458246,-9873906.47517172,-2891191.41593507,-2891191.41593507,56728.8442593886,-2920584.78338859,-183097.128936509,22912000,2265842.82532971,0.34497,0.03574,0.02451,0.01497,0.0077,-0.379854462533615,5.76957,0.94489,0.33655,0.16387,0.15401,6.68702,10.94882,0.712240738977044,0.084790572685263,0.009,0.033436133548802,0.70402465168888,14.9275967206041,14.74684
"15","2014_Q2",14.0687301587302,"Up",19152000,-12275000,6877000,-6252000,-6252000,625000,-102000,-83000,-19000,523000,523000,-155000,368000,368000,368000,368000,3367000,3367000,16111000,16111000,28977000,1755000,1755000,50210000,6455000,16102000,-9647000,5116000,4035000,1081000,11571000,61781000,9179000,4312000,4867000,9179000,17286000,277000,277000,17563000,26742000,17999000,30211000,-888000,35039000,35039000,61781000,368000,321000,126000,-2420000,-1605000,-790000,-789999.999999999,-761999.999999999,-790000.000000002,-256000,-5626000,-5882000,-8277000,-8277000,115448.540617903,-8277000,946000,17286000,-2109000,0.35907,0.03263,0.01921,0.0105,0.00596,-5.73098000000001,5.47009,0.76321,0.27979,0.11496,0.10688,5.98313,10.94627,-0.658859999999999,0.07998,0.01186,-0.0400900000000001,0.69565,14.71353,22.2704
"16","2014_Q3",14.18984375,"Up",33396000,-21675000,11721000,-7983000,-7983000,3738000,-102000,-105000,3000.00000000001,3636000,3636000,-1093000,2543000,2543000,2543000,2543000,2426000,2426000,30794000,30794000,30885000,1970000,1970000,66075000,6577000,14947000,-8370000,15335000,14251000,1084000,21912000,87987000,18385000,10919000,7466000,18385000,31325000,439000,439000,31764000,50149000,18346000,32498000,-723000,37838000,37838000,87987000,2543000,394000,-26000,-4495000,-1584000,478000,-295000,-260000,-13328000,-256000,14039000,13956000,-956000,-956000,16999.9999999999,-939000,4132000,31325000,1208000,0.35097,0.11193,0.07615,0.06721,0.0289,0.47503,3.59396,1.32536,0.35602,0.79197,0.71978,10.4005,11.78387,0.37621,0.07973,0.04021,0.01736,0.10067,6.99395,7.73114
"17","2014_Q4",14.9546875,"Up",30007000,-19396000,10611000,-8685000,-8685000,1926000,-217000,-155000,-62000,1709000,1709000,-521000,1188000,1188000,1188000,1188000,5814000,5814000,24007000,24007000,31461000,1839000,1839000,63121000,6649000,15128000,-8479000,15173000,12761000,1072000,21822000,84943000,14641000,6574000,8067000,14641000,30344000,807000,807000,31151000,45792000,19214000,33390000,-1170000,39151000,39151000,84943000,1188000,532000,151000,2654000,4525000,-453000,-453000,-397000,-453000,-256000,-980000,-518999.999999996,3553000,3553000,-167000,3386000,2458000,30344000,5180000,0.35362,0.06419,0.03959,0.03034,0.01399,4.36027,4.31125,1.16963,0.35723,0.36442,0.34148,9.2046,12.00951,1.58896,0.07853,0.02054,0.07368,0.21549,9.97966,12.73624
"18","2015_Q1",16.0373770491803,"Up",24667306,-15690695,8976611,-7871150,-7871150,1105461,-170736,-130486,-40250,934725,934725,-244720,690005,690005,690005,690005,2285660,2285660,19477128,19477128,33671198,2077420,1820744,57511406,6930541,15628776,-8698235,14866139,12554611,123879,21796680,79308086,15363180,7773021,7590159,15363180,24146841,370009,370009,24516850,39880030,7290884,33784270,-1647098,39428056,39428056,79308086,690005,453058,317880,1852077,3313020,-622539,-622643,-623173,-622423,-296050,-6197988,-6245327,-3554730,-3554730,26626,-3528104,1558519,24146841,3032777,0.36391,0.04481,0.02797,0.0175,0.0087,4.3953,3.74346,1.01146,0.30447,0.20992,0.1892,7.50448,11.99511,0.92265,0.09007,0.01542,0.04743,0.42905,14.02689,19.77562
