"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q3",10.9138095238095,"Up",105101000,-73957000,31144000,-34462000,-34462000,-3318000,40000,-3278000,-3278000,2121000,-1157000,-1157000,-1157000,-1157000,47660000,21495000,26165000,9524000,54687000,10697000,10697000,122568000,70861000,3786000,3786000,74647000,197215000,54251000,31973000,22278000,3590000,3590000,62555000,0,0,38449000,101004000,115439000,-19276000,48000,96211000,96211000,197215000,-1157000,4125000,14512000,-5732000,11748000,-8909000,-26084000,-34835000,22866000,-221000,-221000,-221000,807000,43163000,-15955000,0.29632,-0.03157,-0.01101,-0.01203,-0.00587,13.78997,1.95936,1.04982,0.21886,-0.04241,-0.0418,3.85268,3.5268,-0.58486,0.59459,-0.11448,-5.57249,1.35533
"2","2012_Q4",9.62016129032258,"Down",124896000,-83087000,41809000,-27941000,-27941000,13868000,-42000,13826000,13826000,-4531000,9295000,9295000,9295000,9295000,49774000,24883000,24891000,8139000,49870000,10405000,10405000,118188000,74869000,3902000,3902000,78771000,196959000,41620000,25307000,16313000,3490000,3490000,50138000,0,0,40139000,90277000,116657000,-9981000,6000.00000000001,106682000,106682000,196959000,9295000,4270000,908000,-3585000,10888000,-9136000,1175000,-7961000,461000,3388000,3388000,3388000,18138000,45167000,9948000,0.33475,0.11104,0.07442,0.08713,0.04719,1.07025,2.35725,0.84623,0.22932,0.33608,0.33179,4.51589,3.85732,0.35969,0.06121,0.06551,-0.254,-0.3322
"3","2013_Q1",8.7335,"Down",140770000,-96573000,44197000,-29383000,-29383000,14814000,-45000,14769000,14769000,-4928000,9841000,9841000,9841000,9841000,57182000,17314000,39868000,5934000,46595000,11387000,11387000,121098000,80926000,3357000,3357000,84283000,205381000,36487000,18261000,18226000,5453000,5453000,47207000,0,0,40878000,88085000,117419000,-140000,17000,117296000,117296000,205381000,9841000,4380000,998000,-55000,15164000,-7713000,-14958000,-22648000,-85000,-7569000,-7569000,-7569000,19194000,46145000,16354000,0.31397,0.10524,0.06991,0.0839,0.04792,1.66182,2.56526,0.75096,0.22468,0.35544,0.35028,5.08434,4.2365,0.59067,0.06021,0.10006,-0.57502,-0.74504
"4","2013_Q2",9.616875,"Up",109119000,-77313000,31806000,-27889000,-27889000,3917000,-49000,3868000,3868000,-1560000,2308000,2308000,2308000,2308000,48559000,18624000,29935000,8089000,49665000,12376000,12376000,118689000,87322000,3660000,3660000,90982000,209671000,36783000,20173000,16610000,4525000,4525000,46861000,-6.7762635780344e-21,-6.7762635780344e-21,42300000,89161000,118311000,2168000,31000,120510000,120510000,209671000,2308000,4650000,1192000,-5242000,2908000,-11424000,1e+07,-1424000,-174000,1310000,1310000,1310000,8567000,47853000,-6539000,0.29148,0.0359,0.02115,0.01915,0.01101,-2.83319,2.53279,0.73986,0.22823,0.08335,0.08235,3.94045,4.3518,-0.23613,0.01371,-0.03884,-0.08241,-0.18024
"5","2013_Q3",9.350625,"Down",123042000,-85154000,37888000,-30689000,-30689000,7199000,-47000,7152000,7152000,-2885000,4267000,4267000,4267000,4267000,50818000,20883000,29935000,10913000,63399000,12230000,12230000,137360000,94568000,3804000,3804000,98372000,235732000,55998000,34825000,21173000,4164000,4164000,65949000,0,0,43812000,109761000,119526000,6435000,10000,125971000,125971000,235732000,4267000,4775000,973000,4235000,14250000,-12346000,40000,-12306000,315000,2259000,2259000,2259000,11974000,49599000,6748000,0.30793,0.05851,0.03468,0.03387,0.0181,1.58144,2.08282,0.87132,0.2104,0.15389,0.15196,4.43746,4.5431,0.24336,0.0243,0.03843,-0.1018,-0.16933
"6","2013_Q4",8.63484375,"Down",123780000,-85936000,37844000,-27693000,-27693000,10151000,116000,10267000,10267000,-4121000,6146000,6146000,6146000,6146000,50589000,20657000,29932000,5901000,56378000,13398000,13398000,126266000,102411000,3418000,3418000,105829000,232095000,42481000,26960000,15521000,4118000,4118000,52742000,-5.42101086242752e-20,-5.42101086242752e-20,44593000,97335000,122181000,12581000,-2000,134760000,134760000,232095000,6146000,5045000,374000,-1467000,10098000,-12224000,24999.9999999963,-12199000,1875000,-226000,-226000,-226000,15196000,50736000,5626000,0.30574,0.08201,0.04965,0.04561,0.02648,0.91539,2.39403,0.72228,0.2186,0.22041,0.2182,4.4391,4.83288,0.20176,0.03313,0.03033,0.00967,0.01448
"7","2014_Q1",7.32508196721311,"Down",139896000,-96612000,43284000,-34814000,-34814000,8470000,-29000,8441000,8441000,-3025000,5416000,5416000,5416000,5416000,60355000,25412000,34943000,8545000,46266000,11772000,11772000,126938000,100936000,4533000,4533000,105469000,232407000,33861000,19645000,14216000,6214000,6214000,46228000,0,0,45256000,91484000,122914000,17997000,12000,140923000,140923000,232407000,5416000,4897000,1910000,4315000,16538000,-6628000,-4973000,-11601000,-182000,4755000,4755000,4755000,13367000,51409000,14079000,0.3094,0.06054,0.03871,0.03843,0.0233,2.59952,2.74591,0.64918,0.2212,0.19354,0.19212,4.99914,5.03584,0.50311,0.02816,0.0732,-0.66926,-1.0562
"8","2014_Q2",6.41571428571429,"Down",111134000,-79807000,31327000,-30250000,-30250000,1077000,-51879.933608029,1077000,1077000,-486000,591000,591000,591000,591000,52367000,27396000,24971000,9296000,52850000,11948000,11948000,126461000,105146000,4715000,4715000,109861000,236322000,36872000,21766000,15106000,5202000,5202000,48353000,8.67361737988404e-19,8.67361737988404e-19,45743000,94096000,123626000,18588000,12000,142226000,142226000,236322000,591000,4776000,864000,-6128000,103000,-7943000,10009000,2066000,-185000,1984000,1984000,1984000,5853000,52022000,-7732000,0.28188,0.00969,0.00532,0.00416,0.0025,-13.08291,2.61537,0.66159,0.22013,0.02112,0.02099,3.97148,5.08259,-0.27631,0.00304,-0.0398,-0.0589400000000001,-0.32033
"9","2014_Q3",5.0134375,"Down",123060000,-88405000,34655000,-32326000,-32326000,2329000,3000,2332000,2332000,-1066000,1266000,1266000,1266000,1266000,57369000,32408000,24961000,10295000,70387000,12133000,12133000,150184000,105937000,4989000,4989000,110926000,261110000,60590000,38055000,22535000,4777000,4777000,72054000,0,0,44345000,116399000,124857000,19854000,8750.97297445667,144711000,144711000,261110000,1266000,5406000,1335000,3633000,11640000,-6635000,30000,-6605000,-23000,5012000,5012000,5012000,7735000,51032000,5799000,0.28161,0.01893,0.01029,0.00875,0.00485,4.58057,2.08433,0.80435,0.19544,0.04519,0.04514,4.39265,5.16548,0.207,0.00647,0.02963,-0.81926,-2.72091
"10","2014_Q4",4.915,"Down",131283000,-90735000,40548000,-31972000,-31972000,8576000,-21000,8555000,8555000,-3442000,5113000,5113000,5113000,5113000,61327000,31358000,29969000,5856000,62196000,12656000,12656000,142035000,105607000,5011000,5011000,110618000,252653000,45903000,27948000,17955000,4725000,4725000,57520000,0,0,44474000,101994000,125680000,24967000,12000,150659000,150659000,252653000,5113000,5448000,1102000,-2346000,9317000,-5214000,-4978000,-10192000,-175000,-1050000,-1050000,-1050000,14024000,51366000,9906000,0.30886,0.06532,0.03895,0.03394,0.02024,1.93741,2.46932,0.67699,0.20331,0.18246,0.18231,4.68483,5.37626,0.3535,0.02531,0.04903,-0.71028,-1.1615
