"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",22.6963492063492,"Down",54596000,-23529000,31067000,-25013000,-9450000,-9485000,-6078000,6054000,-4587000,-4870000,-4870000,220000,1467000,6619344.72151864,1467000,-561000,906000,906000,906000,906000,-73785524.4838649,-73785524.4838649,-65163785.524462,419545765.935204,199362352.718394,272527468.981322,901297031.860119,1387690803.06752,-486393771.207398,116000859.417019,51168727.3481316,64832131.559575,1017297891.2834,1289825360.26472,-147249529.521573,-103139908.598163,35573052.6455051,14915423.1810651,233930629.277798,6059398.18932983,6059398.18932983,92738926.4543636,418275100.401914,382489850.313361,182289503.031528,200200347.281831,800764950.715274,893503877.169638,67608842.5334625,295695495.928922,33017144.6327001,396321483.095084,396321483.095084,1289825360.26472,906000,9881000,-296000,5249000,-972000,6221000,15740000,-27012000,-27819000,-3788000,14462000,1748000,12898000,819000,819000,819000,15935000,0,0.56903,0.11089,0.01659,0.19353854253169,0.0661503170968195,4.32750050662872,2.22744349807362,0.505125495784016,0.04486,0.04444,2.70346,20.1184344249148,0.18757,0.0667711139035604,4.18102,-70.534354817407,-269.815698757893
"2","2014_Q3",22.5321875,"Down",70356000,-33082000,37274000,-25153000,-9510000,-9495000,-6148000,12121000,-4473000,-4954000,-4954000,439000,7648000,2290000,9938000.00000001,-3092000,6846000,6846000,6846000,6846000,-32793262.2419325,-32793262.2419325,-21278892.762231,219861382.967602,116157676.359197,160976734.490661,953425515.930059,1419470401.53376,-466044885.603699,160866929.708509,31987363.6740658,128879565.779787,1114292445.6417,1275269180.13236,-51853764.7607867,-43717954.2990817,19335526.3227526,12600211.5905325,110119814.638899,5668199.09466492,5668199.09466492,63933463.2271818,398447050.200957,396734425.15668,184297751.515764,212436673.640915,795181475.357637,859114938.584819,72511421.2667312,288066247.964461,55576572.31635,416154241.547542,416154241.547542,1275269180.13236,6846000,9891000,2351000,-9808999.99999999,834000,-10643000,9279000,-23144000,-18863000,-3791000,14840000,1432000,12489000,2905000,2905000,2905000,22012000,0,0.52979,0.17228,0.09731,0.0941592712658448,0.0321701585484097,2.90341525331436,2.05917174903681,0.397662747892008,0.33867,0.33562,3.48048,20.8272522124574,0.18754,0.0341555569517802,0.55375,-22.6877174087035,-106.335214378947
"3","2014_Q4",25.3225,"Up",125430000,-39428000,86002000,-26888000,-10574000,-9467000,-6847000,59114000,-5298000,-5397000,-5397000,57000,53816000,281000,54097000,-15731000,38366000,38366000,38366000,38366000,-8868087.41397748,-8868087.41397748,3743702.41258966,103963460.989201,66243225.4530657,96767244.8302203,986170171.976686,1445201133.84459,-459030961.8679,185503643.23617,22298121.2246886,163205521.926596,1171673815.2139,1268441060.04412,1509411.74640442,-9250651.43302722,10243842.1075842,10832070.5301775,41561938.2129663,5782066.36488831,5782066.36488831,48853154.4090606,388130683.400319,403501808.38556,185115583.838588,218386224.546972,791632491.785879,840485646.19494,75402807.0889104,283031415.988154,69521190.7721167,427955413.849181,427955413.849181,1268441060.04412,38366000,9863000,18496000,-45843000,603000,-37808000,20882000,-25228000,-25723000,-3794000,6085000,1693000,4417000,-424000,-424000,-424000,68977000,0,0.68566,0.47129,0.30588,0.0374630904219483,0.0127967195161366,2.01372841777145,1.96347058301227,0.338324249297336,1.89633,1.87844,6.19967,21.2275407374858,0.18753,0.0155851856505934,0.09889,4.20943086376551,-14.0867981263156
"4","2015_Q1",27.8770491803279,"Up",69286000,-26713000,42573000,-26984000,-11039000,-9458000,-6487000,15589000,-4314000,-5567000,-5567000,1211000,11275000,0,11275000,-5587000,5687999.99999999,5687999.99999999,5688000,5688000,2399000,2399000,14997000,50697000,41826000,68093000,1005882000,1467612000,-461730000,195329000,19333000,175996000,1201211000,1269304000,24754000,7001000,6361000,9785000,13784000,6156000,6156000,44694000,384365000,405903000,185506000,220397000,790268000,834962000,76865000,280773000,76704000,434342000,434342000,1269304000,5687999.99999999,9856000,2225000,2241000.00000001,-868000,-5529000,20010000,-25047000,-25235000,-3804000,4811000,18000,2025000,-3200000,-3200000,-3200000,25445000,398149000,0.61445,0.22499,0.08209,0.0131,0.00448,1.52354,1.92236,0.31368,0.28064,0.27802,3.41847,21.42977,0.18768,0.00766,0.66878,15.55315,25.38649
"5","2015_Q2",25.7095238095238,"Down",62112000,-21389000,40723000,-27918000,-11296000,-10159000,-6463000,12805000,-5316000,-5652000,-5652000,293000,7489000,1197765.83544407,7489000,-2794000,4695000,4695000,4695000,4695000,5417000,5417000,17574000,38907000,35113000,63148000,1018912000,1489432000,-470520000,195761000,20324000,175437000,1214673000,1277821000,29794000,11776000,5750000,9633000,12313000,6545000,6545000,48652000,384189000,407049000,186232000,220817000,791238000,839890000,77480000,281473000,78978000,437931000,437931000,1277821000,4695000,10558000,1556000,10358000,167000,10191000,27167000,-20418000,-21468000,-3966000,-1647000,2499000,-2681000,3018000,3018000,3018000,23363000,396502000,0.65564,0.20616,0.07559,0.01072,0.00367,1.29795,1.91786,0.3103,0.23097,0.22924,3.05566,21.54441,0.19511,0.00698,0.84473,16.7395,30.54159
"6","2015_Q3",25.50078125,"Down",72402000,-26792000,45610000,-28400000,-11464000,-10202000,-6734000,17210000,-5344000,-5618000,-5618000,230000,11866000,2424176.39240678,11866000,-4405000,7461000,7461000,7461000,7461000,5238000,5238000,17629000,45844000,39007000,70012000,1032594000,1514201000,-481607000,193251000,22182000,171069000,1225845000,1295857000,31559000,13037000,6191000,11492000,20797000,6681000,6681000,59037000,384038000,411259000,187310000,223949000,795297000,854334000,77950000,284498000,79075000,441523000,441523000,1295857000,7461000,10594000,3944000,-4148000,-74999.9999999998,-4073000,17851000,-26162000,-26202000,-3970000,8333000,3809000,8172000,-178999.999999999,-178999.999999999,-178999.999999999,27804000,404835000,0.62995,0.2377,0.10305,0.0169,0.00576,1.1859,1.93497,0.31241,0.3665,0.36392,3.55657,21.68876,0.19502,0.00909,0.5321,14.37192,23.21888
"7","2015_Q4",26.37625,"Up",82955000,-35538000,47417000,-29157000,-12101000,-10188000,-6868000,18260000,-5075000,-5516000,-5516000,398000,13185000,1886000,15071000,-5537000,9534000,9534000,9534000,9534000,6271000,6271000,20255000,50353000,45715000,76879000,1053279000,1544648000,-491369000,193217000,22139000,171078000,1246496000,1323375000,41963000,17523000,5747000,15536000,24763000,6319000,6319000,73045000,380951000,421644000,189503000,232141000,802595000,875640000,78857000,290030000,78848000,447735000,447735000,1323375000,9534000,10588000,3787000,3417000,954000,12333000,27326000,-28092000,-26638000,-3974000,879000,2978000,345000,1033000,1033000,1033000,28848000,405714000,0.5716,0.22012,0.11493,0.02129,0.0072,1.05249,1.95571,0.30658,0.4679,0.46434,4.07114,21.97329,0.19503,0.01059,0.41682,13.84647,21.8753
"8","2016_Q1",29.2606557377049,"Up",87613000,-26909000,60704000,-29019000,-12270000,-10191000,-6558000,31685000,-4957000,-5400000,-5400000,399000,26728000,0,26728000,-10536000,16192000,16192000,16192000,16192000,5239000,5239000,16390000,51747000,40895000,73376000,1075522000,1576208000,-500686000,188427000,22675000,165752000,1263949000,1337325000,35377000,16196000,6193000,11366000,38091000,6155000,6155000,79623000,377187000,426502000,198775000,227727000,803689000,883312000,79252000,302220000,72541000,454013000,454013000,1337325000,16192000,10590000,7188000,-8160000,504000,-19269000,25810000,-35775000,-36302000,-3975000,13202000,1128000,9460000,-1032000,-1032000,-1032000,42275000,415278000,0.69287,0.36165,0.18481,0.03566,0.01211,0.92154,1.94557,0.31053,0.79442,0.78799,4.29851,22.27499,0.19502,0.01556,0.24549,9.69933,12.94111
"9","2016_Q2",31.285625,"Up",61112000,-20614000,40498000,-29917000,-11705000,-11183000,-7029000,10581000,-5081000,-5435000,-5435000,309000,5500000,2494857.56488813,5500000,-2122000,3378000,3378000,3378000,3378000,8692000,8692000,13799000,40135000,37784000,62626000,1103804000,1616201000,-512397000,189146000,23904000,165242000,1292950000,1355576000,37741000,19116000,5773000,10122000,54281000,5793000,5793000,97815000,365823000,435340000,200317000,235023000,801163000,898978000,79925000,301433000,75240000,456598000,456598000,1355576000,3378000,11597000,80000,17518000,-1704000,19222000,32573000,-33425000,-34486000,-4135000,4748000,4302000,5366000,3453000,3453000,3453000,22178000,420104000,0.66268,0.17314,0.05528,0.00740000000000001,0.00249,0.64025,1.96886,0.30991,0.16548,0.16429,2.99367,22.36718,0.20256,0.00573,1.2241,18.55046,38.88215
"10","2016_Q3",36.5325,"Up",86944000,-27683000,59261000,-29461000,-11536000,-11187000,-6738000,29800000,-5311000,-5469000,-5469000,150000,24489000,3197000,27686000,-10911000,16775000,16775000,16775000,16775000,12518000,12518000,17262000,62934000,58429000,92714000,1119678000,1640012000,-520334000,186945000,23906000,163039000,1306623000,1399337000,45951000,23768000,6200000,15156000,67546000,6585000,6585000,120082000,364172000,445983000,208407000,237576000,810155000,930237000,80396000,314040000,74664000,469100000,469100000,1399337000,16775000,11607000,11177000,-16761000,692000,-9963999.99999999,22798000,-29018000,-29265000,-4139000,11692000,3191000,10293000,3826000,3826000,3826000,41407000,431718000,0.6816,0.34275,0.19294,0.03576,0.01199,0.77209,1.98302,0.30852,0.82079,0.81517,4.25412,22.95278,0.20252,0.01553,0.24674,10.12389,14.06711
