"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",11.58890625,"Up",-12500000,-3440000,-9060000,-3798000,83000,83000,-3715000,-7293000,-7293000,-7293000,-7293000,-7293000,-16143227.8618731,-16143726.3866852,-31300111.1565983,-31300111.1565983,6719745.6460878,2016718.44929742,-40723593.372376,-1160996.41462768,4009703.61699294,4004764.91534363,3022693.38945324,-37700899.9829227,-27115130.4957783,-27192374.0365121,77243.5407338152,60218549.5630619,3304212.7787372,-4626.90125955656,33183419.7334754,1859277.84754441,-325822242.088629,-325822242.088629,-323962964.241095,-290779544.50762,253070954.362302,253078644.524697,253078644.524697,-37700899.9829227,-7293000,355000,939000,3226000,-2773000,-487000,-489000,2506000,2506000,2487000,-775000,-775000,-775000,-3443000,0,-0.146687684803017,-0.875379910194406,-0.334275220038272,-1.07251059756324,0.0812033833839023,-0.39339,-0.39339,17.764671448182,-96.6786903139013,46.4800552013526,32.9962528048782
"2","2011_Q1",12.3633870967742,"Up",-17257000,-3365000,-13892000,-1740000,89000,89000,-1651000,-7644000,-7644000,-7644000,-7644000,-7644000,33589000,33589000,3224000,3224000,2990000,1025000,39803000,2070000,3980000,3980000,6173000,45976000,3326000,1311000,2015000,42450000,3304000,35000,45857000,1842000,-306552000,-306552000,-304710000,-258853000,304829000,304829000,304829000,45976000,-7644000,410000,1146000,4200000,-1888000,-505000,-507000,36000,36000,17000,-2378000,-2378000,-2378000,-1330000,1923000,-0.02508,-0.16626,0.86798,-0.84917,0.04183,-0.41232,-0.41232,16.44258,-38.22,23.80902,18.19885
"3","2011_Q2",9.66174603174603,"Down",-19827000,-5026000,-14801000,-5531000,90000,90000,-5441000,1833000,1833000,1833000,1833000,1833000,53665825.9539577,53665992.1288951,14047120.3855328,14047120.3855328,2221501.45130407,750593.850234194,69934447.790792,2799415.47154256,4172932.12766902,4174578.36155212,7081018.87018225,77015466.6609742,14243210.1652594,11572208.0121707,2671002.15308873,30672816.8123127,3303929.07375427,63792.3004198522,44998026.7555082,1821824.05081853,-300687835.970457,-300687835.970457,-298866011.919635,-253867985.164127,330886015.212566,330883451.825101,330883451.825101,77015466.6609742,1833000,239000,1171000,-13309000,-10066000,-336000,-336000,116000,116000,96000,-10306000,-10306000,-10306000,-5292000,0,0.0142592282676725,0.071442470064802,1.54854757334609,-0.769399800812252,0.0259097055386992,0.09778,0.09068,15.6273345172727,-9.25132906203289,10.9896065995491,9.43017073170727
"4","2011_Q3",7.861875,"Down",-21710000,-3960000,-17750000,-10125000,151000,151000,-9974000,1279000,1279000,1279000,1279000,1279000,54188000,54188000,10892000,10892000,2908000,943000,67988000,2363000,4459000,4459000,6945000,74933000,13526000,10975000,2551000,23329000,3304000,85000,36938000,1800000,-303488000,-303488000,-301688000,-264750000,339683000,339683000,339683000,74933000,1279000,251000,735000,-2707000,-442000,-865000,-865000,32232000,32232000,32212000,30905000,30905000,30905000,-9874000,1883000,0.00377000000000001,0.0170699999999999,1.8406,-0.7794,0.02513,0.05723,0.05524,15.1997,0.0335899999999896,5.29725000000001,5.16593
"5","2011_Q4",4.96142857142857,"Down",-18795000,-3185000,-15610000,-11271000,199000,199000,-11072000,-4020000,-4020000,-4020000,-4020000,-4020000,46356000,46356000,4267000,4267000,3178000,1322000,53801000,2445000,4698000,4698000,7282000,61083000,10149000,7899000,2250000,16298000,3304000,105000,26531000,1778000,-307532000,-307532000,-305754000,-279223000,340306000,340306000,340306000,61083000,-4020000,273000,818000,-4594000,-7523000,-320000,-320000,32000,32000,11000,-7832000,-7832000,-7832000,-10998000,1862000,-0.01181,-0.06581,2.02785,-0.82051,0.03048,-0.1777,-0.1777,15.04248,-0.11606,4.04564,3.94765
"6","2012_Q1",6.50774193548387,"Up",-22585000,-3884000,-18701000,-9e+06,147000,147000,-8853000,-1410000,-1410000,-1410000,-1410000,-1410000,39904000,39904000,3633000,3633000,1647000,1647000,45184000,4265000,4764000,4764000,9184000,54368000,11640000,9396000,2244000,8876000,3304000,126000,20601000,1757000,-308971000,-308971000,-307214000,-286613000,340981000,340981000,340981000,54368000,-1410000,537000,-32318000,27543000,-5648000,-784000,-784000,-3.72529029846191e-09,-3.72529029846191e-09,-19999.9999999963,-6452000,-6452000,-6452000,-8463000,1842000,-0.00414,-0.02593,2.19329,-0.84055,0.03388,-0.06217,-0.0690999999999999,15.03576,-0.04165,4.49746,4.22911
"7","2012_Q2",4.74634920634921,"Down",-18086000,-3281000,-14805000,-6874000,96000,96000,-6778000,-17704000,-17704000,-17704000,-17704000,-17704000,30573000,30573000,5135000,5135000,1924000,1924000,37632000,4105000,4704000,4704000,9015000,46647000,10047000,8195000,1852000,19790000,3304000,114000,29923000,1735000,-326701000,-326701000,-324966000,-295043000,341690000,341690000,341690000,46647000,-17704000,353000,773000,7529000,-9049000,-262000,-262000,1000,1000,-20000,-9331000,-9331000,-9331000,-6521000,1821000,-0.05181,-0.37953,1.25763,-0.86348,0.03904,-0.78253,-0.78253,15.10299,-1.05318,4.40914,4.18272
"8","2012_Q3",9.7952380952381,"Up",-16764000,-2915000,-13849000,-5557000,107000,-96000,-5450000,8038000,8038000,8038000,8038000,8038000,24491000,24491000,7180000,7180000,1561000,1561000,33232000,3898000,4740000,4740000,8869000,42101000,10749000,8813000,1936000,6295000,3304000,107000,17131000,1713000,-318873000,-318873000,-317160000,-300029000,342130000,342130000,342130000,42101000,8038000,362000,-2064000,-12018000,-5682000,-379000,-379000,1.86264514923096e-09,1.86264514923096e-09,-21000,-6082000,-6082000,-6082000,-5195000,1800000,0.02349,0.19092,1.93988,-0.87694,0.04275,0.35529,0.35475,15.12244,0.320789999999999,4.36785,4.08332
"9","2012_Q4",26.073064516129,"Up",-14479000,-3565000,-10914000,-6905000,67000,94398.8617018133,-6838000,-49554000,-49554000,-49554000,-49554000,-49554000,37987000,37987000,2474000,2474000,1698000,1698000,42159000,3661000,4837000,4837000,10923000,53082000,6514000,4334000,2180000,48598000,3304000,85000,55200000,1690000,-368426000,-368426000,-366736000,-311536000,364618000,364618000,364618000,53082000,-49554000,375000,43467000,-2093000,-7805000,-81000,-81000,21404000,21404000,21382000,13496000,13496000,13496000,-6530000,1778000,-0.13591,-0.93354,0.76375,-0.85442,0.0335,-2.17114,-2.17114,15.9752,24.41084,5.54502,5.24388
"10","2013_Q1",28.8848333333333,"Up",-17703000,-4869000,-12834000,-10367000,84000,354000,-10283000,-62067000,-62067000,-62067000,-62067000,-62067000,187661000,187661000,4713000,4713000,1534000,1534000,193908000,3397000,4913000,4913000,11085000,204993000,10273000,7532000,2741000,68524000,3304000,27000,78886000,1668000,-430491000,-430491000,-428823000,-349937000,554930000,554930000,554930000,204993000,-62067000,435000,53197000,1277000,-7158000,-423000,-423000,157276000,157276000,157255000,149674000,149674000,149674000,-9932000,1757000,-0.11185,-0.30278,2.45808,-0.6306,0.00857,-2.35674,-2.35978,21.07116,-0.49183,18.71768,17.93229
"11","2013_Q2",35.76234375,"Up",-19889000,-6127000,-13762000,-15415000,237000,237000,-15178000,-42084000,-42084000,-42084000,-42084000,-42084000,167919000,167919000,5652000,5652000,3023000,3023000,176594000,3088000,12133000,4883000,16746000,193340000,8593000,7073000,1520000,94976000,3884000,15000,103659000,1645000,-472580000,-472580000,-470935000,-367276000,560616000,560616000,560616000,193340000,-42084000,451000,28773000,-2133000,-14993000,-470000,-7720000,2993000,2993000,2971000,-19742000,-19742000,-19742000,-14964000,1735000,-0.07507,-0.21767,1.70361,-0.65513,0.00897,-1.32286,-1.32286,17.62223,-0.46879,11.10559,10.78067
"12","2013_Q3",38.51359375,"Up",-20038000,-7054000,-12984000,-17087000,-19000,-19000,-17106000,-19051000,-19051000,-19051000,-19051000,-19051000,156185000,156185000,3788000,3788000,12933000,12933000,172906000,3359000,5743000,5186000,10727000,183633000,8713000,6727000,1986000,83630000,4499000,15000,92433000,1622000,-491629000,-491629000,-490007000,-397574000,581207000,581207000,581207000,183633000,-19051000,260000,4401000,2388000,-12002000,-896000,-1453000,1922000,1922000,1721000,-11734000,-11734000,-11734000,-16827000,1712000,-0.03278,-0.10374,1.87061,-0.68405,0.00932,-0.59564,-0.59564,18.1718,-0.208690000000001,9.18007,9.04038
"13","2013_Q4",29.714375,"Down",-29101000,-8014000,-21087000,-24933000,63000,63000,-24870000,-42030000,-42030000,-42030000,-42030000,-42030000,273644000,273644000,6721000,6721000,10057000,10057000,290422000,8244000,5788000,5231000,14057000,304479000,11038000,8129000,2909000,39972000,3963000,15000,51101000,1599000,-529621000,-529621000,-528022000,-476921000,781400000,781400000,781400000,304479000,-42030000,287000,20773000,1092000,-19878000,-1677000,-1677000,139036000,139036000,139014000,117459000,117459000,117459000,-24646000,1690000,-0.05379,-0.13804,5.68329,-0.61034,0.00555,-1.23825,-1.23825,23.02095,-0.16582,11.03441,10.90739
"14","2014_Q1",25.4960655737705,"Down",-35475000,-10399000,-25076000,-32849000,45000,45000,-32804000,-8820000,-8820000,-8820000,-8820000,-8820000,256965000,256965000,3530000,3530000,10311000,10311000,270806000,15049000,5689000,5042000,20763000,291569000,22681000,8080000,14601000,13193000,3299000,888000,35966000,1576000,6835000.00000006,6834999.99999994,8411000.00000006,44377000.0000001,790428000,247192000,247192000,291569000,-8820000,279000,-20203000,10922000,-17822000,-732000,-821999.999999993,2035000,2035000,1965000,-16679000,-16679000,-16679000,-32570000,1668000,-0.03568,-0.03025,7.5295,0.17952,0.00572,-0.2342,-0.2342,6.56378,-0.03449,7.83841,7.77183
"15","2014_Q2",31.6095238095238,"Up",-31209000,-10303000,-20906000,-25121000,99000,99000,-25022000,-28273000,-28273000,-28273000,-28273000,-28273000,225192000,49101000,7849000,7849000,16329000,16329000,249370000,20130000,5864000,5217000,26019000,275389000,24061000,7721000,16340000,13603000,3303000,1087000,37758000,1551000,-564391000,-564391000,-562840000,-525082000,800530000,800471000,800471000,275389000,-28273000,523000,8118000,-8633000,-28265000,-5620000,-182289000,2713000,2713000,2690000,-207864000,-207864000,-207864000,-24598000,1645000,-0.03532,-0.10267,6.60443,-0.65597,0.00597,-0.74755,-0.74755,21.16472,-0.11893,9.08802,8.89881
