"","YQ","p","d","operating_expenses","selling_general_administrative","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",61.75,"Down",-1895178,-1051225,-1051225,-843953,-1895178,-230966,-220965,-2126144,-2126144,-2126144,-2126144,-2126144,-2377394,-14041133.922769,-14268701.3665653,2858302.03615772,2858302.03615772,-11534984.767293,-1068621.30059375,7577.54294742952,7577.5429472522,-1061043.75764633,-12596028.5249393,-4626024.49192255,-7038026.60925401,2412002.11733146,7718856.32195725,9.54715777743692,9.54715777743707,10.8292568418101,7718867.15121409,368949663.110803,-8034244,-385055892.868364,-20314895.6761534,-20314895.6761534,-12596028.5249393,-77863774.8008613,4137.54826102696,6344469.29869877,92900688.4819465,21385520.528045,754427.035855387,-88358.6659771475,-88358.6659771475,935493.969405286,79858086.4765957,79858086.4765957,79858086.4765957,-78888037.4089056,0,-19.3950523039505,-12.350436020951,-26.2843319361109,7.50771199671058,1.30305216435308,-2.06609,-2.06609,-18.2744423148611,-18.961327540439,-34.6992373872427,-34.9911210143441
"2","2010_Q3",29.03625,"Down",-1781807,-770679,-770679,-1011128,-1781807,-162779,-168733,-1944586,-4944586,-4944586,-4944586,-4944586,-5195836,-3225676.09214346,-3355650.72883481,1523496.35261745,1523496.35261745,959563.057443758,-433913.760316669,5780.55623862908,5780.55623853451,-428133.20407804,531429.853365718,-835791.262358692,-2396524.2582688,1560732.99591011,6000635.50504387,5.09181748129969,5.09181748129977,5.77560364896536,6000641.28064751,376346180.925762,-8034244,-377384789.996461,-5469211.4272818,-5469211.4272818,531429.853365718,-24597888.9336204,14377.1827536757,1741548.76623292,26543632.4939822,3701669.50934833,201251.345285129,-26510.5553257158,-26510.5553257158,270543.323135095,24300057.4921986,24300057.4921986,24300057.4921986,-24756990.8029685,0,-8.42652056210692,-5.31222254450721,-10.6527790325925,3.91270573157897,0.726377820988309,-4.51547,-4.51547,-6.60493123459259,-8.20152402156746,-20.8794246065294,-21.0520432076502
"3","2010_Q4",48.1534375,"Up",-1983344,-691623,-691623,-1291721,-1983344,-111967,-106784,-2095311,-2095311,-2095311,-2095311,-2095311,-2346561,2654822.7154462,2589947.22668695,695063.507231545,695063.507231545,6791847.39654141,-63606.1601187509,4882.7085894859,4882.70858945044,-58723.451529265,6733123.94501214,1207478.40161549,236679.028149199,970799.373466292,4244557.81439145,1.90943155548738,1.90943155548741,2.16585136836201,4244559.98024282,381294761.972161,-8034244,-374217069.623673,2488563.96476933,2488563.96476933,6733123.94501214,-2095311,16885,33727,-113779,-2158478,-1900,-1900,-1900,-1900,394945,394945,394945,-1966459,0,-2.3303089607901,-1.43997470419021,-1.42182088722219,1.66346089934212,0.331297932870616,-2.03929,-2.03929,-0.41237796297222,-2.2577915080878,-10.6560654774485,-10.7504737028688
"4","2011_Q1",52.6804838709677,"Up",-2567480,-884339,-884339,-1683141,1125687,-60761,-43736,1064926,1064926,1064926,1064926,1064926,813676,4911788,4885972,265683,265683,7927918,104729,4584,4584,109313,8037231,1946345,1351004,595341,2703816,0,0,0,2703816,384245187,-8034244,-374227528,5333415,5333415,8037231,1064926,14915,42194,-2389072,-1267037,2000,-1.81898940354586e-12,-1.81898940354586e-12,2000,-3501890,-3501890,-3501890,1140602,757471,0.15256,0.10124,2.93212,0.50696,0.09425,0.70713,0.70713,1.7237,0.13359,-3.64221,-3.69047
"5","2011_Q2",42.924126984127,"Down",-2651379,-1253105,-1253105,-1398274,-2651379,55000,2341504.79493169,-2596379,-2596379,-2596379,-2596379,-2596379,-2847629,4856645.26151793,4850303.09110435,128034.330922818,128034.330922818,6333824.61781953,133519.220039584,4584.43047017137,4584.43047018319,138103.650509755,6471928.26832929,1823369.03279484,1435871.4072836,387497.625511236,1631602.81186952,-0.636477185162461,-0.636477185162472,-0.72195045612067,1631602.08991906,385647236.75928,-8034244,-376090961.375442,4840326.17841022,4840326.17841022,6471928.26832929,-2596379,12088,436988,2610047,462744,50791,-4209,-4209,50791,-85282,-85282,-85282,-2639291,0,0.281063820263365,0.146354068063402,3.93262112907406,0.190185533552628,-0.00832847762353865,-2.47475,-2.47475,1.22378515432407,0.236340502695933,0.549091825816178,0.523910400956271
"6","2011_Q3",17.02125,"Down",-1669604,-719898,-719898,-949706,-1660752,2493,5808500.51347914,-1658259,-1658259,-1658259,-1658259,-1658259,-1909509,3800820,3800820,174797,174797,3975617,85192,4584,4584,89776,4065393,1281111,980702,300409,1281111,0,0,0,1281111,385950692,-8034244,-378482166,2784282,2784282,4065393,-1658259,11658,39299,-433947.999999999,-2041250,1500.00000000001,0,0,28309,-999870,-999870,-999870,-1649094,0,-0.685819999999999,-0.4697,3.10326,0.46012,-2.77555756156289e-17,-1.65947,-1.65947,-0.491639999999999,-0.68582,2.30479,2.28861
"7","2011_Q4",15.5620634920635,"Down",-1260058,-556601,-556601,-703457,-1260058,-48320,7999663.13456075,-1308378,-1308378,-1308378,-1308378,-1308378,-1559628,1986165,1986165,224169,224169,2210334,28822,4584,4584,33406,2243740,760294,491939,268355,760294,0,0,0,760294,385958234,-8034244,-379790544,1483446,1483446,2243740,-1308378,9841,80488,-570188,-1788237,-1792,-1792,-1792,-1792,-1814655,-1814655,-1814655,-1250217,0,-1.05135,-0.6951,2.90721,0.51252,0,-1.29921,-1.29921,-1.55489,-1.05135,1.58866,1.57625
"8","2012_Q1",20.103064516129,"Up",-927843,-521907,-521907,-405936,1004192,328.999999999942,6557404.6370949,1004521,1004521,1004521,1004521,1004521,753271,1080630,1080630,193657,193657,3207029,24621,4184,4184,28805,3235834,704091,453329,250762,704091,0,4.44089209850063e-16,4.44089209850063e-16,704091,386002010,-8034244,-378786023,2531743,2531743,3235834,1004521,4529,43448.0000000001,-1958033,-905535,9.09494701772928e-13,-4.54747350886464e-13,-4.54747350886464e-13,0,-905535,-905535,-905535,1008721,-4.65661287307739e-10,0.29753,0.23279,4.55485,0.27811,2.77555756156289e-17,0.63939,0.63939,-0.69455,0.29753,-1.07129,-1.07612
"9","2012_Q2",19.4973015873016,"Down",-1657995,-1096746,-1096746,-561249,-1657995,-875863,-875863,-2533858,-2533858,-2533858,-2533858,-2533858,-2785108,11345510,11345510,631806,631806,11977316,20395,4184,4184,24579,12001895,1145274,743879,401395,9582262,0,0,0,9582262,388423758,-8034244,-381319881,2419633,2419633,12001895,-2533858,4226,1140085,2336383,946836,0,0,0,1e+07,10264880,10264880,10264880,-1653769,8436988,-1.15105,-0.23206,1.24995,3.96021,0.70297,-2.29074,-2.29074,-0.76522,-0.25654,1.75872,1.75424
"10","2012_Q3",19.7853968253968,"Up",-1297789,-601502,-601502,-696287,-1297789,-9165429,-9165429,-10463218,-10463218,-10463218,-10463218,-10463218,-10546968,10058935,10058935,143263,143263,10202198,15246,17427,17427,32673,10234871,944818,576884,367934,944818.000000002,0,-7.105427357601e-15,-7.105427357601e-15,944818,409107396,-8034244,-391783099,9290053,9290053,10234871,-10463218,5149,9369560,-125763,-1214272,0,0,0,0,-1286575,-1286575,-1286575,-1292640,-1.86264514923096e-09,-1.1353,-1.03049,10.79806,0.1017,0,-5.55701,-5.55701,4.89477,-1.1353,7.7817,7.75082
